-7.36 266.8 -6.7712 245.456
-8.28 267.72 -7.6176 246.3024
-7.36 267.72 -6.7712 246.3024
-9.2 267.72 -8.464 246.3024
-6.44 267.72 -5.9248 246.3024
-7.36 267.72 -6.7712 246.3024
-7.36 267.72 -6.7712 246.3024
-6.44 267.72 -5.9248 246.3024
-6.44 268.64 -5.9248 247.1488
-6.44 266.8 -5.9248 245.456
-7.36 267.72 -6.7712 246.3024
-8.28 267.72 -7.6176 246.3024
-6.44 267.72 -5.9248 246.3024
-7.36 268.64 -6.7712 247.1488
-6.44 267.72 -5.9248 246.3024
-7.36 267.72 -6.7712 246.3024
-6.44 268.64 -5.9248 247.1488
-7.36 269.56 -6.7712 247.9952
-7.36 271.4 -6.7712 249.688
-5.52 275.08 -5.0784 253.0736
-5.52 276.92 -5.0784 254.7664
-4.6 283.36 -4.232 260.6912
-3.68 286.12 -3.3856 263.2304
-0.92 298.08 -0.8464 274.2336
0.0 303.6 0.0 279.312
3.68 315.56 3.3856 290.3152
5.52 322.0 5.0784 296.24
9.2 334.88 8.464 308.0896
10.12 340.4 9.3104 313.168
13.8 354.2 12.696 325.864
16.56 361.56 15.2352 332.6352
22.08 379.96 20.3136 349.5632
25.76 389.16 23.6992 358.0272
33.12 406.64 30.4704 374.1088
36.8 415.84 33.856 382.5728
45.08 433.32 41.4736 398.6544
50.6 449.88 46.552 413.8896
54.28 456.32 49.9376 419.8144
60.72 467.36 55.8624 429.9712
62.56 472.88 57.5552 435.0496
66.24 482.08 60.9408 443.5136
68.08 484.84 62.6336 446.0528
71.76 488.52 66.0192 449.4384
73.6 493.12 67.712 453.6704
74.52 496.8 68.5584 457.056
77.28 498.64 71.0976 458.7488
80.04 505.08 73.6368 464.6736
81.88 507.84 75.3296 467.2128
86.48 516.12 79.5616 474.8304
88.32 520.72 81.2544 479.0624
94.76 529.92 87.1792 487.5264
102.12 539.12 93.9504 495.9904
104.88 544.64 96.4896 501.0688
112.24 553.84 103.2608 509.5328
115.0 556.6 105.8 512.072
120.52 566.72 110.8784 521.3824
125.12 571.32 115.1104 525.6144
131.56 579.6 121.0352 533.232
136.16 583.28 125.2672 536.6176
141.68 589.72 130.3456 542.5424
145.36 593.4 133.7312 545.928
152.72 599.84 140.5024 551.8528
158.24 605.36 145.5808 556.9312
164.68 610.88 151.5056 562.0096
168.36 611.8 154.8912 562.856
171.12 616.4 157.4304 567.088
178.48 620.08 164.2016 570.4736
181.24 623.76 166.7408 573.8592
186.76 627.44 171.8192 577.2448
189.52 628.36 174.3584 578.0912
195.04 631.12 179.4368 580.6304
198.72 632.96 182.8224 582.3232
206.08 634.8 189.5936 584.016
209.76 636.64 192.9792 585.7088
217.12 638.48 199.7504 587.4016
219.88 637.56 202.2896 586.5552
228.16 638.48 209.9072 587.4016
232.76 639.4 214.1392 588.248
239.2 639.4 220.064 588.248
241.96 636.64 222.6032 585.7088
248.4 636.64 228.528 585.7088
251.16 634.8 231.0672 584.016
256.68 632.04 236.1456 581.4768
260.36 628.36 239.5312 578.0912
264.04 626.52 242.9168 576.3984
269.56 620.08 247.9952 570.4736
273.24 617.32 251.3808 567.9344
277.84 608.12 255.6128 559.4704
279.68 604.44 257.3056 556.0848
285.2 594.32 262.384 546.7744
287.04 587.88 264.0768 540.8496
292.56 574.08 269.1552 528.1536
292.56 567.64 269.1552 522.2288
294.4 555.68 270.848 511.2256
296.24 547.4 272.5408 503.608
297.16 531.76 273.3872 489.2192
298.08 523.48 274.2336 481.6016
298.08 503.24 274.2336 462.9808
298.08 484.84 274.2336 446.0528
297.16 473.8 273.3872 435.896
296.24 453.56 272.5408 417.2752
294.4 442.52 270.848 407.1184
289.8 421.36 266.616 387.6512
288.88 413.08 265.7696 380.0336
284.28 390.08 261.5376 358.8736
281.52 380.88 258.9984 350.4096
277.84 363.4 255.6128 334.328
275.08 353.28 253.0736 325.0176
269.56 333.96 247.9952 307.2432
267.72 324.76 246.3024 298.7792
261.28 306.36 240.3776 281.8512
257.6 296.24 236.992 272.5408
250.24 277.84 230.2208 255.6128
244.72 259.44 225.1424 238.6848
240.12 250.24 220.9104 230.2208
233.68 234.6 214.9856 215.832
230.0 227.24 211.6 209.0608
223.56 210.68 205.6752 193.8256
218.96 203.32 201.4432 187.0544
210.68 188.6 193.8256 173.512
206.08 182.16 189.5936 167.5872
198.72 166.52 182.8224 153.1984
194.12 160.08 178.5904 147.2736
188.6 151.8 173.512 139.656
185.84 146.28 170.9728 134.5776
178.48 136.16 164.2016 125.2672
173.88 128.8 159.9696 118.496
165.6 116.84 152.352 107.4928
161.92 112.24 148.9664 103.2608
152.72 100.28 140.5024 92.2576
143.52 90.16 132.0384 82.9472
138.0 85.56 126.96 78.7152
129.72 77.28 119.3424 71.0976
124.2 72.68 114.264 66.8656
115.92 64.4 106.6464 59.248
